Market_ID,TV_Spend_k,Radio_Spend_k,Newspaper_Spend_k,Sales_k_units
81,124.9,9.1,21.8,13.83
82,245.1,11.8,58.8,17.38
83,54.3,12.5,31.7,6.67
84,11.7,28.6,3.6,10.43
85,31.6,20.8,41.8,8.51
86,218.1,2.5,47.4,14.33
87,141.3,18.7,22.6,14.32
88,52.6,26.2,57.2,9.23
89,152.8,5.1,56.6,9.87
90,49.9,41.7,70.2,15.58
91,210.4,2.6,64.8,13.76
92,136.6,46.2,65.2,15.46
93,117.4,5.0,31.6,12.04
94,93.9,42.2,78.7,17.33
95,190.9,45.1,54.9,20.63
96,111.7,49.0,43.1,16.81
97,30.9,40.1,62.6,14.97
98,39.8,39.0,36.1,14.33
99,288.8,32.1,51.3,27.51
100,273.0,38.9,73.7,25.01
101,211.4,6.7,88.6,16.09
102,83.4,26.8,92.1,13.26
103,290.9,25.7,50.4,23.88
104,234.7,42.9,52.0,24.31
105,216.5,23.1,80.0,20.8
106,137.6,19.3,31.4,13.58
107,85.3,32.0,83.7,13.89
108,33.4,13.3,49.4,7.87
109,271.3,7.0,11.6,19.32
110,139.5,23.9,7.2,17.73
111,64.7,20.8,84.2,10.81
112,95.3,11.6,5.6,10.33
113,175.9,18.4,28.1,16.46
114,57.1,18.3,33.4,10.23
115,257.7,16.4,17.3,20.77
116,228.8,19.0,31.4,14.86
117,217.2,34.3,74.3,19.62
118,132.5,14.8,1.5,12.03
119,190.1,47.4,82.7,18.52
120,177.3,45.8,85.7,19.81
121,196.7,24.0,37.2,16.53
122,29.9,16.4,15.4,8.67
123,127.7,26.8,60.1,17.23
124,17.3,42.4,12.0,12.97
125,150.7,32.6,36.5,15.91
126,102.3,40.2,95.8,16.85
127,47.6,26.6,99.5,13.58
128,35.5,31.6,77.2,10.7
129,178.4,14.4,31.1,13.87
130,55.3,36.7,68.8,15.0
131,277.9,10.1,70.5,18.72
132,176.4,34.7,38.8,20.15
133,107.3,43.0,64.1,17.61
134,179.3,6.6,1.1,14.95
135,11.7,30.7,20.9,9.25
136,287.8,4.8,52.5,18.44
137,147.3,36.3,16.4,17.72
138,235.9,4.2,16.6,14.01
139,29.4,46.8,83.6,12.38
140,148.6,6.9,98.9,13.79
141,149.8,47.9,55.6,19.9
142,281.7,40.0,83.9,23.32
143,173.7,29.7,99.0,18.0
144,144.7,39.1,14.2,20.28
145,83.8,39.8,44.8,12.26
146,102.8,47.3,39.3,15.8
147,158.6,12.7,8.0,12.58
148,134.5,29.5,75.5,18.65
149,11.4,4.8,43.4,6.45
150,248.8,30.8,46.9,22.87
151,269.4,8.6,15.1,16.45
152,46.4,28.2,18.1,10.2
153,168.4,28.6,90.7,18.42
154,37.0,23.3,4.5,10.7
155,203.3,26.1,23.3,19.54
156,88.0,38.2,29.2,15.47
157,199.5,40.0,49.0,21.61
158,219.5,24.6,58.6,19.42
159,231.8,30.0,49.3,21.97
160,36.8,46.6,8.4,16.31
161,275.2,6.0,24.4,15.48
162,72.9,5.9,84.4,5.47
163,16.0,4.4,63.8,7.79
164,168.7,32.9,64.9,20.37
165,114.4,20.9,67.0,12.13
166,249.8,38.7,76.3,20.27
167,243.4,33.6,5.8,22.0
168,98.6,16.7,36.7,13.67
169,286.1,44.9,54.0,28.89
170,90.8,38.1,33.8,16.72
171,156.9,13.5,84.4,13.71
172,80.5,18.2,48.3,10.25
173,281.1,15.7,76.9,20.31
174,53.6,7.9,85.2,8.1
175,18.2,7.4,50.5,5.2
176,133.4,46.8,91.0,22.85
177,297.8,21.9,58.7,25.03
178,268.0,19.2,85.0,22.19
179,225.8,36.5,34.1,20.19
180,267.8,27.6,49.9,23.27
181,268.6,46.8,53.1,26.61
182,158.1,39.0,10.5,19.75
183,98.2,24.0,39.9,15.55
184,232.7,18.8,91.7,19.75
185,200.2,49.3,63.1,24.19
186,115.2,35.9,17.8,17.56
187,32.9,47.6,33.9,15.63
188,225.3,5.9,19.2,12.95
189,82.4,42.5,2.5,16.43
190,281.4,31.9,92.7,22.51
191,76.1,6.1,44.8,7.12
192,41.2,29.4,30.8,14.7
193,250.2,34.3,59.8,25.16
194,50.2,0.6,0.7,9.05
195,57.9,22.7,27.8,11.88
196,181.8,41.3,70.3,22.82
197,263.0,14.8,63.4,19.29
198,62.9,22.9,98.2,12.21
199,96.5,22.1,62.0,11.42
